ISO3,National Unit,Name,Admin Level,Metric,Units,Year,Value
"MDG","Madagascar","Amoron I Mania","admin1","Incidence Rate","Cases per Thousand",2016,54.328815570455
"MDG","Madagascar","Amoron I Mania","admin1","Mortality Rate","Deaths per 100 Thousand",2016,4.7299999999999995
"MDG","Madagascar","Atsimo Atsinanana","admin1","Incidence Rate","Cases per Thousand",2016,208.315082185372
"MDG","Madagascar","Atsimo Atsinanana","admin1","Mortality Rate","Deaths per 100 Thousand",2016,32.8122
"MDG","Madagascar","Haute Matsiatra","admin1","Incidence Rate","Cases per Thousand",2016,63.3250126822416
"MDG","Madagascar","Haute Matsiatra","admin1","Mortality Rate","Deaths per 100 Thousand",2016,3.8699999999999997
"MDG","Madagascar","Ihorombe","admin1","Incidence Rate","Cases per Thousand",2016,107.194727690948
"MDG","Madagascar","Ihorombe","admin1","Mortality Rate","Deaths per 100 Thousand",2016,17.885
"MDG","Madagascar","Vatovavy Fitovinany","admin1","Incidence Rate","Cases per Thousand",2016,119.587401193476
"MDG","Madagascar","Vatovavy Fitovinany","admin1","Mortality Rate","Deaths per 100 Thousand",2016,17.366699999999998
"MDG","Madagascar","Betsiboka","admin1","Incidence Rate","Cases per Thousand",2016,77.6714818050147
"MDG","Madagascar","Betsiboka","admin1","Mortality Rate","Deaths per 100 Thousand",2016,16.0683
"MDG","Madagascar","Boeny","admin1","Incidence Rate","Cases per Thousand",2016,70.7864118248735
"MDG","Madagascar","Boeny","admin1","Mortality Rate","Deaths per 100 Thousand",2016,28.7671
"MDG","Madagascar","Melaky","admin1","Incidence Rate","Cases per Thousand",2016,141.605872152257
"MDG","Madagascar","Melaky","admin1","Mortality Rate","Deaths per 100 Thousand",2016,26.638999999999996
"MDG","Madagascar","Sofia","admin1","Incidence Rate","Cases per Thousand",2016,101.525766950505
"MDG","Madagascar","Sofia","admin1","Mortality Rate","Deaths per 100 Thousand",2016,39.2217
"MDG","Madagascar","Alaotra Mangoro","admin1","Incidence Rate","Cases per Thousand",2016,60.9613048660379
